Rank,Nome,Avaliacao
549,First Class: All Aboard the Orient Express!,7.42
627,Dinosaur Island: Rawr 'n Write,7.75
628,Struggle of Empires,7.53
706,Civilization: A New Dawn,7.26
398,Cat in the Box: Deluxe Edition,7.63
399,Maria,7.98
472,Quadropolis,7.23
550,TZAAR,7.66
551,The Grizzled,7.14
629,Evolution,7.06
630,Nucleum,8.24
631,Crusaders: Thy Will Be Done,7.48
707,Torres,7.09
708,Feudum,7.61
709,Escape: The Curse of the Temple,6.96
400,The Godfather: Corleone's Empire,7.53
473,Point Salad,7.17
474,Cartographers Heroes,7.79
475,Commands & Colors: Napoleonics,8.03
552,London,7.33
553,Fleet: The Dice Game,7.67
632,Francis Drake,7.38
710,Merv: The Heart of the Silk Road,7.53
711,The Magnificent,7.53
476,The Witcher: Old World,8.08
477,Descent: Legends of the Dark,7.96
554,Archipelago,7.29
555,Time's Up! Title Recall!,7.69
633,Splendor: Marvel,7.59
634,Regicide,7.47
712,Earth Reborn,7.62
478,Mystic Vale,7.26
479,Middara: Unintentional Malum – Act 1,8.63
556,The Fox in the Forest,7.12
557,Love Letter: Premium Edition,7.45
635,The Battle of Five Armies,7.88
636,Star Wars: Destiny,7.45
713,Churchill,7.67
714,Luna,7.30
715,Dixit: Journey,7.40
480,Pan Am,7.55
558,Libertalia,7.12
559,Legends of Andor,7.12
637,Carson City,7.22
638,Hammer of the Scots,7.53
639,Cuba Libre,7.68
716,Treasure Island,7.24
717,Mexica,7.25
481,Amerigo,7.45
482,Stuffed Fables,7.46
560,Libertalia: Winds of Galecrest,7.49
640,Conan,7.64
641,A Game of Thrones,7.18
718,Shadows of Brimstone: Swamps of Death,8.04
719,"Unmatched: Battle of Legends, Volume Two",8.32
483,Fire in the Lake,8.06
484,Hadara,7.41
561,The LOOP,7.76
562,Madeira,7.55
563,Wabash Cannonball,7.25
642,Gears of War: The Board Game,7.47
643,Take 5,6.96
644,Zombicide,7.11
720,AuZtralia,7.36
721,Yamataï,7.19
485,Colt Express,7.09
564,Airlines Europe,7.30
565,Sushi Go!,7.01
645,Whitehall Mystery,7.56
646,Thebes,7.13
722,Sub Terra,7.39
723,D-Day at Omaha Beach,8.29
801,Warhammer: Invasion,7.24
486,"Air, Land, & Sea",7.46
487,Citadels,7.26
566,Euphoria: Build a Better Dystopia,7.19
567,RoboRally,7.06
647,Galaxy Trucker (Second Edition),7.51
648,Quantum,7.24
724,Myrmes,7.26
725,Ascension: Deckbuilding Game,7.03
802,Caverna: Cave vs Cave,7.11
803,Kanagawa,7.04
488,Pandemic: The Cure,7.25
489,BattleLore,7.35
490,Amun-Re,7.29
568,Discworld: Ankh-Morpork,7.25
569,Elysium,7.20
649,Shards of Infinity,7.48
726,Exit: The Game – The Pharaoh's Tomb,7.16
727,Whistle Mountain,7.62
804,Babylonia,7.68
491,The Guild of Merchant Explorers,7.74
492,No Thanks!,7.08
570,Nova Luna,7.30
571,Camel Up,7.04
650,HeroQuest,7.19
651,Coloretto,6.98
728,Smash Up: Awesome Level 9000,7.22
729,Bloodborne: The Board Game,7.81
805,Deep Sea Adventure,6.92
806,Saint Petersburg (Second Edition),7.47
493,Dawn of the Zeds (Third Edition),8.16
572,Vikings,7.25
573,Valeria: Card Kingdoms,7.45
574,One Night Ultimate Werewolf,7.07
652,Blood Bowl (2016 Edition),7.98
653,Zombicide: Green Horde,7.70
730,Tokaido,6.94
731,Prêt-à-Porter,7.33
807,Ex Libris,7.14
808,Empires: Age of Discovery,7.84
494,Charterstone,7.23
495,Risk Legacy,7.37
575,Runebound (Third Edition),7.47
576,Last Will,7.17
654,Photosynthesis,6.99
655,Bus,7.61
732,Arkwright,7.80
733,Tash-Kalar: Arena of Legends,7.16
809,Verdant,7.40
810,Blokus,6.86
496,Exit: The Game – Dead Man on the Orient Express,7.57
497,Citadels,7.06
577,Zombicide: 2nd Edition,8.01
578,Sentinels of the Multiverse,7.15
656,Mare Nostrum: Empires,7.53
657,A Game of Thrones: The Card Game (Second Edition),7.50
734,Leaving Earth,7.74
735,Defenders of the Realm,7.28
811,7 Wonders: Architects,7.04
812,World Without End,7.24
813,Space Hulk,7.48
498,Foundations of Rome,8.02
499,The Great Wall,7.89
579,Las Vegas,7.16
580,QE,7.40
658,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,7.74
659,Ready Set Bet,7.63
736,Fury of Dracula (Second Edition),7.10
737,Wir sind das Volk!,7.79
814,Dominant Species: Marine,7.97
815,The Pursuit of Happiness,7.18
500,Zombie Kidz Evolution,7.64
581,Space Empires 4X,7.70
660,Betrayal at House on the Hill,7.03
738,Unmatched: Jurassic Park – InGen vs Raptors,8.14
739,Century: A New World,7.34
816,Cry Havoc,7.13
817,Crown of Emara,7.40
582,Karuba,7.17
661,Medici,7.16
662,Formula D,7.00
663,Creature Comforts,7.51
740,Love Letter: Batman,7.27
741,Trismegistus: The Ultimate Formula,7.60
818,Super Motherload,7.35
819,Finca,7.07
583,Etherfields,7.98
584,Roads & Boats,7.71
664,Time's Up!,7.29
742,Onirim (Second Edition),7.05
743,Carcassonne: The Castle,7.10
820,Perudo,6.91
821,Paris: La Cité de la Lumière,7.32
822,Witchstone,7.59
585,Aquatica,7.38
586,Jamaica,7.06
665,Taluva,7.15
666,Pax Renaissance,8.01
744,ZhanGuo,7.56
745,Space Hulk: Death Angel – The Card Game,7.00
746,Oh My Goods!,7.00
823,Up Front,7.88
824,878 Vikings: Invasions of England,7.50
901,Mille Fiori,7.44
587,In the Hall of the Mountain King,7.62
588,Sky Team,8.18
589,Arkham Horror: The Card Game (Revised Edition),8.70
667,Project: ELITE,8.02
747,Ashes Reborn: Rise of the Phoenixborn,7.29
748,Unlock!: Timeless Adventures,7.79
825,Railroad Ink: Blazing Red Edition,7.10
826,Maquis,7.45
902,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,7.51
590,StarCraft: The Board Game,7.35
591,Atlantis Rising (Second Edition),7.57
668,The Downfall of Pompeii,7.15
669,Lacrimosa,7.74
670,Magic Maze,6.97
749,Mosaic: A Story of Civilization,7.61
750,Specter Ops,7.18
827,Ricochet Robots,7.03
903,Rhino Hero,6.92
904,Spyrium,7.04
592,Tales of the Arabian Nights,7.17
593,Taj Mahal,7.27
671,Marrakesh,8.19
672,Warp's Edge,7.74
751,Dragon Castle,7.13
752,Living Forest,7.29
828,Exit: The Game – The Secret Lab,7.07
829,Dice Hospital,7.14
905,Forbidden Island,6.76
906,Lovecraft Letter,7.22
594,Egizia,7.39
595,BattleCON: Devastation of Indines,7.83
673,Snowdonia,7.34
674,Weather Machine,7.85
753,Feed the Kraken,7.90
754,City of the Big Shoulders,7.77
830,Panamax,7.31
831,Arcadia Quest: Inferno,7.89
832,Zombicide Season 2: Prison Outbreak,7.36
907,Hyperborea,7.17
908,Container,7.16
596,Unmatched: Little Red Riding Hood vs. Beowulf,8.17
597,Queendomino,7.17
675,One Night Ultimate Werewolf: Daybreak,7.31
676,Dorfromantik: The Board Game,7.68
755,Bullet♥︎,7.65
756,Steampunk Rally,7.17
833,Vast: The Crystal Caverns,7.12
834,"Heroes of Land, Air & Sea",7.60
909,Napoleon's Triumph,7.99
910,Unlock!: Epic Adventures,7.75
598,Through the Desert,7.09
599,Vinhos,7.47
600,Baseball Highlights: 2045,7.52
677,Trains,7.13
678,The Republic of Rome,7.53
757,The Estates,7.42
758,Railroad Ink Challenge: Lush Green Edition,7.67
835,Black Angel,7.25
836,The Duke,7.33
911,Summoner Wars: Alliances Master Set,8.06
912,Carcassonne: The City,7.21
913,Werewords,7.14
679,Cacao,7.08
680,Lord of the Rings: The Confrontation,7.21
681,Detective: City of Angels,7.91
759,Skymines,8.11
760,The Bloody Inn,7.06
837,Keep the Heroes Out!,8.02
838,Unfair,7.33
914,Ohanami,7.31
915,Roam,7.31
682,My Father's Work,7.92
683,Disney Villainous: Wicked to the Core,7.55
761,BANG! The Dice Game,6.90
762,My Little Scythe,7.25
839,Cerebria: The Inside World,7.77
840,Star Wars: The Clone Wars,7.64
916,Zombicide: Invader,7.81
917,Qwixx,6.86
684,Azul: Queen's Garden,7.51
685,Between Two Castles of Mad King Ludwig,7.25
763,The Networks,7.16
764,Warhammer Quest: The Adventure Card Game,7.32
841,Squad Leader,7.55
842,FUSE,7.01
843,King of New York,6.89
918,Coffee Roaster,7.36
919,Dinosaur World,7.39
686,Kingdom Builder,6.94
687,Fort,7.13
765,Villagers,7.16
766,Diplomacy,7.04
844,Tang Garden,7.38
845,1989: Dawn of Freedom,7.78
920,Mahjong,7.05
921,Spyfall,6.79
922,Thunderstone,6.91
688,KeyForge: Call of the Archons,7.12
689,A Fake Artist Goes to New York,7.15
767,Vegas Showdown,7.16
768,The Adventures of Robin Hood,7.52
769,K2,7.02
846,Raccoon Tycoon,7.29
847,Incan Gold,6.83
923,Roll Through the Ages: The Bronze Age,6.85
690,Shakespeare,7.42
691,Mr. Jack,6.98
692,Telestrations: 12 Player Party Pack,7.74
770,Brian Boru: High King of Ireland,7.53
771,Century: Eastern Wonders,7.13
848,Wizard,6.96
849,Disney Villainous: Perfectly Wretched,7.65
924,Marvel Dice Masters: Avengers vs. X-Men,7.10
925,Tajemnicze Domostwo,7.11
693,Summoner Wars,7.23
772,Three Sisters,7.61
850,Dungeons & Dragons: The Legend of Drizzt Board Game,7.21
851,Merchants Cove,7.51
926,The Mind,6.77
927,Ca$h 'n Guns: Second Edition,6.83
694,Elder Sign,6.97
695,Belfort,7.22
773,Ticket to Ride: Rails & Sails,7.43
774,Thunderstone Advance: Towers of Ruin,7.33
852,Blue Lagoon,7.20
853,Gentes,7.40
928,The Palaces of Carrara,7.14
929,Catacombs (Third Edition),7.48
696,Chronicles of Crime: 1400,7.76
697,Golem,7.60
698,Cribbage,7.09
775,Wits & Wagers,6.93
776,The Shipwreck Arcana,7.47
854,Tumblin' Dice,7.23
855,Khôra: Rise of an Empire,7.44
930,Union Pacific,7.19
931,Brazil: Imperial,7.65
699,Yellow & Yangtze,7.84
700,Massive Darkness 2: Hellscape,8.08
777,Crystal Palace,7.53
778,Empire of the Sun,8.27
856,Red7,6.87
857,Dale of Merchants,7.18
932,Akrotiri,7.18
933,San Marco,7.17
779,Can't Stop,6.90
780,Coal Baron,7.29
858,Detective Club,7.37
934,Pictomania,7.27
935,Last Night on Earth: The Zombie Game,6.91
781,Advanced Squad Leader: Starter Kit #1,7.84
782,Next Station: London,7.47
859,Among the Stars,7.03
860,Outlive,7.30
936,Tinners' Trail,7.22
937,Top Ten,7.51
783,Yspahan,7.07
784,Between Two Cities,6.99
861,Santiago,7.15
862,Fugitive,7.16
938,Beer & Bread,7.50
939,Formula Dé,6.99
785,New York Zoo,7.11
786,Wallenstein,7.46
787,CO₂: Second Chance,7.54
863,Circadians: First Light,7.58
864,Jambo,6.99
940,Luxor,7.19
941,Shikoku 1889,7.98
788,Middle-Earth Quest,7.39
789,Twilight Inscription,7.53
865,Hannibal & Hamilcar,8.31
866,Not Alone,6.97
942,Nightmare Productions,7.06
943,Red Rising,7.03
790,Menara,7.45
791,Disney Villainous,6.97
867,Tammany Hall,7.28
868,Celestia,6.94
944,Kitchen Rush,7.26
945,Unsettled,8.08
792,Eminent Domain,6.99
793,Shipyard,7.35
869,War of the Ring: The Card Game,7.80
870,High Frontier 4 All,8.43
946,Black Sonata,7.47
947,Caesar!: Seize Rome in 20 Minutes!,7.61
794,Blue Moon City,7.04
795,Reef,7.02
871,Lords of Xidit,7.09
872,Pandemic: Rising Tide,7.57
948,Signorie,7.38
949,Brew Crafters,7.39
796,Rhino Hero: Super Battle,7.25
797,New Frontiers,7.42
873,SpaceCorp: 2025-2300AD,7.67
874,A War of Whispers,7.33
950,Horizons of Spirit Island,8.32
951,Palm Island,7.09
798,First Rat,7.63
799,Dogs of War,7.52
875,Letter Jam,7.20
876,Unmatched Game System,8.26
952,Caylus 1303,7.46
953,Genoa,7.05
800,Messina 1347,7.61
877,Tribune: Primus Inter Pares,7.21
878,One Deck Dungeon,6.97
954,Tak,7.59
955,Call to Adventure,7.10
879,XCOM: The Board Game,7.00
880,Star Trek: Fleet Captains,7.48
881,ZÈRTZ,7.27
956,Tragedy Looper,7.19
957,Istanbul: The Dice Game,7.15
882,Tiny Epic Dungeons,7.55
958,Maharaja: The Game of Palace Building in India,7.11
959,Moonrakers,7.75
883,Reef Encounter,7.14
884,Yedo,7.36
960,Virgin Queen,8.01
961,Jaws,7.11
885,Combat Commander: Pacific,8.11
886,Vasco da Gama,7.21
962,Lanterns: The Harvest Festival,6.87
963,Bridge,7.46
887,Morels,6.99
888,Last Bastion,7.49
964,Homesteaders,7.20
965,Tidal Blades: Heroes of the Reef,7.54
889,Clinic: Deluxe Edition,7.64
966,The Others,7.33
890,Scoville,7.13
967,Kingsburg (Second Edition),7.42
891,"13 Days: The Cuban Missile Crisis, 1962",7.23
892,Rurik: Dawn of Kiev,7.76
968,Warhammer Underworlds: Shadespire,7.64
969,Thunder Alley,7.30
893,Star Wars: The Card Game,7.17
894,Washington's War,7.61
970,Forest Shuffle,7.54
895,The Lost Expedition,7.06
896,Parade,7.00
971,Summoner Wars: Phoenix Elves vs Tundra Orcs,7.51
972,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),7.93
897,Friedrich,7.56
898,Battle for Rokugan,7.41
973,Dungeons & Dragons: Castle Ravenloft Board Game,6.98
974,Adrenaline,7.00
899,Abomination: The Heir of Frankenstein,7.46
900,Clever Cubed,7.51
975,Roll Player Adventures,8.20
976,Condottiere,6.88
977,DinoGenics,7.63
978,Orchard: A 9 card solitaire game,7.36
979,Legendary: A Marvel Deck Building Game – Villains,7.54
980,Attika,6.99
981,Lowlands,7.40
982,Qwirkle,6.77
983,Louis XIV,7.05
984,Smash Up: Science Fiction Double Feature,7.26
985,Tiny Epic Quest,6.98
986,Snow Tails,6.97
987,Legacy of Yu,8.26
988,Zooloretto,6.80
989,Core Worlds,7.15
990,Web of Power,7.30
991,Wasteland Express Delivery Service,7.33
992,Dungeons & Dragons: Wrath of Ashardalon Board Game,7.10
993,Meeple Circus,7.04
994,Imperial Steam,7.82
995,Santa Monica,7.19
996,Tiny Epic Dinosaurs,7.33
997,Heroscape Master Set: Swarm of the Marro,7.64
998,Concept,6.77
999,DC Deck-Building Game,7.03
1000,The Castles of Burgundy: The Card Game,6.96
